,index,Suburb,Address,Rooms,Type,Price,Method,SellerG,Date,Distance,Postcode,Bedroom,Bathroom,Car,Landsize,BuildingArea,YearBuilt,CouncilArea,Lattitude,Longtitude,Regionname,Propertycount,Coordinates,StreetType,Weekend
10,10,Abbotsford,411/8 Grosvenor St,2,u,700000.0,VB,Jellis,2016-11-12,2.5,3067,2,2,1,0.0,126.0,1970,Yarra,-37.811,145.0067,Northern Metropolitan,4019,"-37.811, 145.0067",St,1
11,11,Abbotsford,40 Nicholson St,3,h,1350000.0,VB,Nelson,2016-11-12,2.5,3067,3,2,2,214.0,190.0,2005,Yarra,-37.8085,144.9964,Northern Metropolitan,4019,"-37.8085, 144.9964",St,1
12,12,Abbotsford,123/56 Nicholson St,2,u,750000.0,S,Biggin,2016-11-12,2.5,3067,2,2,1,0.0,94.0,2009,Yarra,-37.8078,144.9965,Northern Metropolitan,4019,"-37.8078, 144.9965",St,1
13,13,Abbotsford,45 William St,2,h,1172500.0,S,Biggin,2016-08-13,2.5,3067,2,1,1,195.0,126.0,1970,Yarra,-37.8084,144.9973,Northern Metropolitan,4019,"-37.8084, 144.9973",St,1
14,14,Abbotsford,7/20 Abbotsford St,1,u,441000.0,SP,Greg,2016-05-14,2.5,3067,1,1,1,0.0,126.0,1970,Yarra,-37.8016,144.9988,Northern Metropolitan,4019,"-37.8016, 144.9988",St,1
15,15,Abbotsford,16 William St,2,h,1310000.0,S,Jellis,2016-10-15,2.5,3067,2,1,2,238.0,97.0,1890,Yarra,-37.809,144.9976,Northern Metropolitan,4019,"-37.809, 144.9976",St,1
16,16,Abbotsford,42 Henry St,3,h,1200000.0,S,Jellis,2016-07-16,2.5,3067,3,2,1,113.0,110.0,1880,Yarra,-37.8056,144.993,Northern Metropolitan,4019,"-37.8056, 144.993",St,1
17,17,Abbotsford,78 Yarra St,3,h,1176500.0,S,LITTLE,2016-07-16,2.5,3067,2,1,1,138.0,105.0,1890,Yarra,-37.8021,144.9965,Northern Metropolitan,4019,"-37.8021, 144.9965",St,1
18,18,Abbotsford,196 Nicholson St,3,h,955000.0,S,Collins,2016-09-17,2.5,3067,3,1,0,183.0,126.0,1970,Yarra,-37.8022,144.9975,Northern Metropolitan,4019,"-37.8022, 144.9975",St,1
19,19,Abbotsford,42 Valiant St,2,h,890000.0,S,Biggin,2016-09-17,2.5,3067,2,1,1,150.0,73.0,1985,Yarra,-37.8011,145.0004,Northern Metropolitan,4019,"-37.8011, 145.0004",St,1
20,20,Abbotsford,3/72 Charles St,4,h,1330000.0,PI,Kay,2017-03-18,2.5,3067,4,2,2,780.0,135.0,1900,Yarra,-37.8073,144.9952,Northern Metropolitan,4019,"-37.8073, 144.9952",St,1
21,21,Abbotsford,13/11 Nicholson St,3,t,900000.0,S,other,2017-03-18,2.5,3067,3,2,2,0.0,126.0,2010,Yarra,-37.8093,144.9959,Northern Metropolitan,4019,"-37.8093, 144.9959",St,1
22,22,Abbotsford,138/56 Nicholson St,3,u,1090000.0,S,Jellis,2017-03-18,2.5,3067,3,2,2,4290.0,27.0,1970,Yarra,-37.8078,144.9965,Northern Metropolitan,4019,"-37.8078, 144.9965",St,1
23,23,Abbotsford,6/219 Nicholson St,2,u,500000.0,S,Collins,2016-06-18,2.5,3067,2,1,1,0.0,60.0,1970,Yarra,-37.8015,144.9972,Northern Metropolitan,4019,"-37.8015, 144.9972",St,1
24,24,Abbotsford,52a William St,2,h,1100000.0,PI,Biggin,2016-06-18,2.5,3067,2,2,1,124.0,135.0,2013,Yarra,-37.8079,144.9977,Northern Metropolitan,4019,"-37.8079, 144.9977",St,1
25,25,Abbotsford,49 Park St,2,h,1315000.0,S,Marshall,2016-11-19,2.5,3067,2,1,0,147.0,85.0,1900,Yarra,-37.808,144.994,Northern Metropolitan,4019,"-37.808, 144.994",St,1
26,26,Abbotsford,5/20 Abbotsford St,1,u,426000.0,SP,Greg,2016-08-22,2.5,3067,1,1,1,0.0,126.0,1970,Yarra,-37.8016,144.9988,Northern Metropolitan,4019,"-37.8016, 144.9988",St,0
27,27,Abbotsford,48 Abbotsford St,3,h,1447500.0,PI,Nelson,2016-08-22,2.5,3067,3,3,1,166.0,174.0,2012,Yarra,-37.8017,145.0001,Northern Metropolitan,4019,"-37.8017, 145.0001",St,0
28,28,Abbotsford,116/56 Nicholson St,1,u,457000.0,S,Jellis,2016-08-22,2.5,3067,1,1,1,0.0,50.0,1970,Yarra,-37.8078,144.9965,Northern Metropolitan,4019,"-37.8078, 144.9965",St,0
29,29,Abbotsford,159 Park St,2,h,1135000.0,S,Nelson,2016-08-22,2.5,3067,2,2,2,98.0,128.0,1920,Yarra,-37.8005,144.9952,Northern Metropolitan,4019,"-37.8005, 144.9952",St,0
30,30,Abbotsford,31 Turner St,4,h,1542000.0,S,Collins,2016-09-24,2.5,3067,4,3,1,0.0,126.0,1970,Yarra,-37.7994,144.9965,Northern Metropolitan,4019,"-37.7994, 144.9965",St,1
31,31,Abbotsford,166 Gipps St,3,h,1290000.0,S,Biggin,2017-02-25,2.5,3067,3,2,2,147.0,18.0,1970,Yarra,-37.805,144.9943,Northern Metropolitan,4019,"-37.805, 144.9943",St,1
32,32,Abbotsford,60 Stafford St,3,h,1290000.0,S,Biggin,2017-02-25,2.5,3067,3,1,1,168.0,124.0,1950,Yarra,-37.8007,144.9958,Northern Metropolitan,4019,"-37.8007, 144.9958",St,1
33,33,Abbotsford,11/205 Gipps St,1,u,470000.0,S,Nelson,2016-07-26,2.5,3067,1,1,1,0.0,50.0,2013,Yarra,-37.8055,144.9961,Northern Metropolitan,4019,"-37.8055, 144.9961",St,0
34,34,Abbotsford,47 Studley St,2,h,1180000.0,S,Jellis,2016-11-27,2.5,3067,2,1,0,162.0,91.0,1900,Yarra,-37.8016,144.9956,Northern Metropolitan,4019,"-37.8016, 144.9956",St,1
35,35,Abbotsford,45 Yarra St,3,h,1195000.0,SP,Jellis,2016-11-27,2.5,3067,3,2,1,120.0,128.0,1998,Yarra,-37.8022,144.9954,Northern Metropolitan,4019,"-37.8022, 144.9954",St,1
36,36,Abbotsford,200 Nicholson St,2,h,1012500.0,S,Nelson,2016-05-28,2.5,3067,2,1,0,182.0,82.0,1900,Yarra,-37.8021,144.9976,Northern Metropolitan,4019,"-37.8021, 144.9976",St,1
37,37,Abbotsford,27 Charles St,2,h,1030000.0,S,Biggin,2016-07-30,2.5,3067,2,1,1,172.0,81.0,1930,Yarra,-37.8086,144.9946,Northern Metropolitan,4019,"-37.8086, 144.9946",St,1
38,38,Airport West,154 Halsey Rd,3,t,840000.0,PI,Nelson,2016-09-03,13.5,3042,3,2,1,303.0,225.0,2016,Moonee Valley,-37.718,144.878,Western Metropolitan,3464,"-37.718, 144.878",Rd,1
39,39,Airport West,50 Bedford St,3,h,730000.0,VB,Nelson,2016-12-03,13.5,3042,3,2,1,0.0,145.0,1965,Moonee Valley,-37.7203,144.8755,Western Metropolitan,3464,"-37.7203, 144.8755",St,1
40,40,Airport West,50 Bedford St,3,h,770000.0,SP,Nelson,2017-03-04,13.5,3042,3,2,1,0.0,145.0,1965,Moonee Valley,-37.7203,144.8755,Western Metropolitan,3464,"-37.7203, 144.8755",St,1
41,41,Airport West,23 Hart St,2,h,603000.0,S,Nelson,2017-03-04,13.5,3042,2,1,1,272.0,84.0,1950,Moonee Valley,-37.7294,144.888,Western Metropolitan,3464,"-37.7294, 144.888",St,1
42,42,Airport West,1/80 Hawker St,3,t,700000.0,S,Brad,2017-03-04,13.5,3042,3,2,2,239.0,134.0,2009,Moonee Valley,-37.7218,144.8837,Western Metropolitan,3464,"-37.7218, 144.8837",St,1
43,43,Airport West,1/37 Hillside Gr,3,h,600000.0,S,other,2017-03-04,13.5,3042,2,1,1,290.0,116.0,1980,Moonee Valley,-37.7273,144.8744,Western Metropolitan,3464,"-37.7273, 144.8744",Gr,1
44,44,Airport West,2/49 McIntosh St,2,u,500000.0,VB,Barry,2017-03-04,13.5,3042,2,1,1,168.0,86.0,2011,Moonee Valley,-37.7215,144.8864,Western Metropolitan,3464,"-37.7215, 144.8864",St,1
45,45,Airport West,54 Marshall Rd,3,h,720000.0,S,Barry,2016-08-06,13.5,3042,2,1,1,620.0,126.0,1970,Moonee Valley,-37.7173,144.8872,Western Metropolitan,3464,"-37.7173, 144.8872",Rd,1
46,46,Airport West,36 Roberts Rd,4,h,785000.0,S,other,2016-08-06,13.5,3042,3,1,2,597.0,127.0,1970,Moonee Valley,-37.7259,144.8792,Western Metropolitan,3464,"-37.7259, 144.8792",Rd,1
47,47,Airport West,11 Harrington Rd,6,h,725000.0,SP,Barry,2016-05-07,13.5,3042,6,3,2,976.0,186.0,1980,Moonee Valley,-37.7239,144.8735,Western Metropolitan,3464,"-37.7239, 144.8735",Rd,1
48,48,Airport West,2/252 Parer Rd,2,t,450000.0,S,Barry,2016-05-07,13.5,3042,2,1,1,110.0,90.0,2015,Moonee Valley,-37.7216,144.871,Western Metropolitan,3464,"-37.7216, 144.871",Rd,1
49,49,Airport West,3/19 Hart St,2,u,515000.0,S,Barry,2016-11-07,13.5,3042,2,1,1,141.0,73.0,2013,Moonee Valley,-37.7298,144.8883,Western Metropolitan,3464,"-37.7298, 144.8883",St,0
50,50,Airport West,2/62 Clydesdale Rd,2,u,530000.0,S,Nelson,2016-09-10,13.5,3042,2,1,1,120.0,94.0,2012,Moonee Valley,-37.7234,144.8792,Western Metropolitan,3464,"-37.7234, 144.8792",Rd,1
51,51,Airport West,3 Deidre Ct,3,h,895000.0,PI,Rendina,2016-09-10,13.5,3042,3,1,6,1063.0,133.0,1975,Moonee Valley,-37.7249,144.8728,Western Metropolitan,3464,"-37.7249, 144.8728",Ct,1
52,52,Airport West,13 Etzel St,3,h,805000.0,S,Nelson,2016-12-10,13.5,3042,3,1,1,0.0,105.0,1950,Moonee Valley,-37.7217,144.8783,Western Metropolitan,3464,"-37.7217, 144.8783",St,1
53,53,Airport West,1/43 Cameron St,3,u,752000.0,S,Nelson,2017-02-11,13.5,3042,3,1,1,265.0,130.0,1993,Moonee Valley,-37.7302,144.8855,Western Metropolitan,3464,"-37.7302, 144.8855",St,1
54,54,Airport West,145a Victory Rd,2,u,440000.0,S,Barry,2016-08-13,13.5,3042,2,1,1,192.0,126.0,1970,Moonee Valley,-37.7177,144.8787,Western Metropolitan,3464,"-37.7177, 144.8787",Rd,1
55,55,Airport West,241 Parer Rd,5,h,755000.0,PI,other,2016-05-14,13.5,3042,3,2,2,596.0,126.0,1970,Moonee Valley,-37.7248,144.8699,Western Metropolitan,3464,"-37.7248, 144.8699",Rd,1
56,56,Airport West,2/40 Earl St,3,t,700000.0,PI,Brad,2016-10-15,13.5,3042,3,2,2,165.0,133.0,2009,Moonee Valley,-37.727,144.887,Western Metropolitan,3464,"-37.727, 144.887",St,1
57,57,Airport West,180 Parer Rd,3,h,830000.0,S,Barry,2016-04-16,13.5,3042,3,1,2,971.0,113.0,1960,Moonee Valley,-37.7186,144.876,Western Metropolitan,3464,"-37.7186, 144.876",Rd,1
58,58,Airport West,4/54 Hawker St,2,u,462500.0,S,Barry,2016-07-16,13.5,3042,2,1,1,164.0,126.0,2003,Moonee Valley,-37.7218,144.8863,Western Metropolitan,3464,"-37.7218, 144.8863",St,1
59,59,Airport West,43 Hillside Gr,3,h,670000.0,SP,Barry,2016-07-16,13.5,3042,3,2,2,657.0,126.0,1970,Moonee Valley,-37.7269,144.8742,Western Metropolitan,3464,"-37.7269, 144.8742",Gr,1
60,60,Airport West,174 Parer Rd,2,h,675000.0,S,Barry,2016-07-16,13.5,3042,2,1,1,612.0,100.0,1975,Moonee Valley,-37.7187,144.8765,Western Metropolitan,3464,"-37.7187, 144.8765",Rd,1
61,61,Airport West,138 Victory Rd,3,h,1042000.0,S,Nelson,2016-07-16,13.5,3042,3,2,5,612.0,174.0,1950,Moonee Valley,-37.7173,144.8796,Western Metropolitan,3464,"-37.7173, 144.8796",Rd,1
62,62,Airport West,75 King St,3,h,910000.0,S,McDonald,2016-09-17,13.5,3042,3,1,1,775.0,126.0,1970,Moonee Valley,-37.7231,144.8835,Western Metropolitan,3464,"-37.7231, 144.8835",St,1
63,63,Airport West,6 Kittyhawk St,4,h,773000.0,S,Brad,2016-09-17,13.5,3042,5,3,4,531.0,309.0,1980,Moonee Valley,-37.7263,144.8679,Western Metropolitan,3464,"-37.7263, 144.8679",St,1
64,64,Airport West,478 Fullarton Rd,3,h,810000.0,PI,Barry,2017-03-18,13.5,3042,3,3,2,555.0,192.0,1980,Moonee Valley,-37.7285,144.8694,Western Metropolitan,3464,"-37.7285, 144.8694",Rd,1
65,65,Airport West,144 Marshall Rd,3,h,715000.0,S,Rendina,2017-03-18,13.5,3042,3,2,2,422.0,126.0,1995,Moonee Valley,-37.7164,144.8792,Western Metropolitan,3464,"-37.7164, 144.8792",Rd,1
66,66,Airport West,106 Parer Rd,3,h,790000.0,S,Nelson,2017-03-18,13.5,3042,3,1,3,614.0,126.0,1970,Moonee Valley,-37.7194,144.8827,Western Metropolitan,3464,"-37.7194, 144.8827",Rd,1
67,67,Airport West,3/7 South Rd,3,t,540000.0,SP,Nelson,2016-06-18,13.5,3042,2,2,1,161.0,101.0,2010,Moonee Valley,-37.7231,144.8802,Western Metropolitan,3464,"-37.7231, 144.8802",Rd,1
68,68,Airport West,37 North St,3,t,825000.0,SP,Barry,2016-11-19,13.5,3042,3,2,1,293.0,102.0,1960,Moonee Valley,-37.72,144.8776,Western Metropolitan,3464,"-37.72, 144.8776",St,1
69,69,Airport West,10 Hilbert Rd,3,h,685000.0,S,Barry,2016-05-22,13.5,3042,3,1,1,579.0,113.0,1975,Moonee Valley,-37.7226,144.8733,Western Metropolitan,3464,"-37.7226, 144.8733",Rd,1
70,70,Airport West,110 Halsey Rd,3,h,805000.0,S,Barry,2016-08-22,13.5,3042,3,1,1,623.0,126.0,1970,Moonee Valley,-37.7184,144.882,Western Metropolitan,3464,"-37.7184, 144.882",Rd,0
71,71,Airport West,2/13 North St,2,u,510000.0,S,Nelson,2016-08-22,13.5,3042,2,1,1,141.0,76.0,1970,Moonee Valley,-37.7202,144.8797,Western Metropolitan,3464,"-37.7202, 144.8797",St,0
72,72,Airport West,105a Victory Rd,3,h,612000.0,S,Nelson,2016-08-22,13.5,3042,3,2,1,212.0,126.0,1970,Moonee Valley,-37.7181,144.8824,Western Metropolitan,3464,"-37.7181, 144.8824",Rd,0
73,73,Airport West,117 Marshall Rd,3,h,662000.0,S,Brad,2016-04-23,13.5,3042,3,1,2,612.0,126.0,1970,Moonee Valley,-37.7169,144.8815,Western Metropolitan,3464,"-37.7169, 144.8815",Rd,1
74,74,Airport West,34 Moorna Dr,4,h,978000.0,S,Nelson,2016-09-24,13.5,3042,4,3,2,532.0,126.0,1970,Moonee Valley,-37.7263,144.869,Western Metropolitan,3464,"-37.7263, 144.869",Dr,1
75,75,Airport West,33 North St,3,h,720000.0,PI,Nelson,2017-02-25,13.5,3042,3,1,1,585.0,126.0,1970,Moonee Valley,-37.72,144.878,Western Metropolitan,3464,"-37.72, 144.878",St,1
76,76,Airport West,49 Roberts Rd,4,h,765000.0,S,other,2016-11-27,13.5,3042,4,1,2,509.0,126.0,1970,Moonee Valley,-37.7261,144.8785,Western Metropolitan,3464,"-37.7261, 144.8785",Rd,1
77,77,Airport West,85 Roberts Rd,4,h,900000.0,S,Harcourts,2016-11-27,13.5,3042,4,2,3,628.0,146.0,1975,Moonee Valley,-37.7256,144.8739,Western Metropolitan,3464,"-37.7256, 144.8739",Rd,1
78,78,Albert Park,105 Kerferd Rd,2,h,1275000.0,S,hockingstuart,2016-09-03,3.3,3206,2,1,0,120.0,82.0,1900,Port Phillip,-37.8459,144.9555,Southern Metropolitan,3280,"-37.8459, 144.9555",Rd,1
79,79,Albert Park,85 Richardson St,2,h,1455000.0,S,Thomson,2016-09-03,3.3,3206,2,1,0,159.0,126.0,1970,Port Phillip,-37.845,144.9538,Southern Metropolitan,3280,"-37.845, 144.9538",St,1
80,80,Albert Park,112 Beaconsfield Pde,3,h,2850000.0,PI,Buxton,2017-03-04,3.3,3206,3,2,0,211.0,198.0,1890,Port Phillip,-37.8481,144.9499,Southern Metropolitan,3280,"-37.8481, 144.9499",Pde,1
81,81,Albert Park,94 Graham St,3,h,1850000.0,S,Greg,2017-03-04,3.3,3206,3,2,0,128.0,133.0,1890,Port Phillip,-37.8452,144.9488,Southern Metropolitan,3280,"-37.8452, 144.9488",St,1
82,82,Albert Park,396 Montague St,2,h,1436000.0,S,RT,2017-03-04,3.3,3206,2,1,0,130.0,81.0,1900,Port Phillip,-37.8431,144.9565,Southern Metropolitan,3280,"-37.8431, 144.9565",St,1
83,83,Albert Park,75 Graham St,2,h,1110000.0,S,Marshall,2016-08-06,3.3,3206,1,1,0,147.0,126.0,1900,Port Phillip,-37.8444,144.9484,Southern Metropolitan,3280,"-37.8444, 144.9484",St,1
84,84,Albert Park,54 Brooke St,2,h,1550000.0,S,other,2016-05-07,3.3,3206,2,1,1,167.0,126.0,1970,Port Phillip,-37.8405,144.9521,Southern Metropolitan,3280,"-37.8405, 144.9521",St,1
85,85,Albert Park,104 Richardson St,4,h,2300000.0,S,Marshall,2016-05-07,3.3,3206,4,2,1,153.0,180.0,1880,Port Phillip,-37.8447,144.9523,Southern Metropolitan,3280,"-37.8447, 144.9523",St,1
86,86,Albert Park,4a Mills St,3,t,1550000.0,VB,Marshall,2016-11-07,3.3,3206,3,2,2,718.0,126.0,1970,Port Phillip,-37.8443,144.9598,Southern Metropolitan,3280,"-37.8443, 144.9598",St,0
87,87,Albert Park,1 Moubray St,3,h,1800000.0,VB,Greg,2016-11-07,3.3,3206,3,2,1,132.0,159.0,1996,Port Phillip,-37.8415,144.952,Southern Metropolitan,3280,"-37.8415, 144.952",St,0
88,88,Albert Park,29 Faussett St,2,h,2120000.0,S,Greg,2016-09-10,3.3,3206,2,1,1,199.0,107.0,1900,Port Phillip,-37.8422,144.9554,Southern Metropolitan,3280,"-37.8422, 144.9554",St,1
89,89,Albert Park,3 Herbert St,3,h,1800000.0,VB,Cayzer,2016-09-10,3.3,3206,3,1,1,253.0,126.0,1970,Port Phillip,-37.8443,144.9579,Southern Metropolitan,3280,"-37.8443, 144.9579",St,1
90,90,Albert Park,24 Kerferd Pl,3,h,1800000.0,S,Marshall,2016-09-10,3.3,3206,3,2,1,90.0,122.0,1900,Port Phillip,-37.8421,144.9571,Southern Metropolitan,3280,"-37.8421, 144.9571",Pl,1
91,91,Albert Park,44 Draper St,2,h,1810000.0,PI,Greg,2016-12-10,3.3,3206,2,1,0,240.0,126.0,1970,Port Phillip,-37.8379,144.9539,Southern Metropolitan,3280,"-37.8379, 144.9539",St,1
92,92,Albert Park,2 Dundas Pl,3,h,2615000.0,S,Cayzer,2016-12-10,3.3,3206,3,2,1,177.0,181.0,1880,Port Phillip,-37.8415,144.9585,Southern Metropolitan,3280,"-37.8415, 144.9585",Pl,1
93,93,Albert Park,23 Finlay St,5,h,2100000.0,S,Greg,2016-12-10,3.3,3206,5,2,1,237.0,126.0,1970,Port Phillip,-37.8436,144.9557,Southern Metropolitan,3280,"-37.8436, 144.9557",St,1
94,94,Albert Park,31 Richardson St,3,h,1300000.0,S,hockingstuart,2016-12-10,3.3,3206,3,1,0,129.0,126.0,1970,Port Phillip,-37.8422,144.94899999999996,Southern Metropolitan,3280,"-37.8422, 144.949",St,1
95,95,Albert Park,4a Gatehouse La,3,h,1370000.0,S,Greg,2016-06-12,3.3,3206,3,2,2,0.0,85.0,2000,Port Phillip,-37.8451,144.9511,Southern Metropolitan,3280,"-37.8451, 144.9511",other,1
96,96,Albert Park,60 Brooke St,2,h,1000000.0,S,Cayzer,2016-11-12,3.3,3206,2,1,0,288.0,126.0,1970,Port Phillip,-37.8407,144.9523,Southern Metropolitan,3280,"-37.8407, 144.9523",St,1
97,97,Albert Park,70 Barrett St,3,h,2575000.0,S,Greg,2016-10-15,3.3,3206,3,2,1,228.0,126.0,1970,Port Phillip,-37.8445,144.9501,Southern Metropolitan,3280,"-37.8445, 144.9501",St,1
98,98,Albert Park,65 Graham St,2,h,1322500.0,S,Greg,2016-10-15,3.3,3206,2,1,0,149.0,98.0,1890,Port Phillip,-37.8443,144.9481,Southern Metropolitan,3280,"-37.8443, 144.9481",St,1
99,99,Albert Park,364 Montague St,2,h,1562500.0,S,Greg,2016-10-15,3.3,3206,2,1,0,141.0,83.0,1890,Port Phillip,-37.8424,144.9562,Southern Metropolitan,3280,"-37.8424, 144.9562",St,1
100,100,Albert Park,86 Mills St,3,h,2000000.0,VB,RT,2016-04-16,3.3,3206,3,2,1,211.0,147.0,1900,Port Phillip,-37.847,144.9575,Southern Metropolitan,3280,"-37.847, 144.9575",St,1
101,101,Albert Park,129 Kerferd Rd,3,h,1900000.0,S,Greg,2017-03-18,3.3,3206,3,1,0,209.0,126.0,1900,Port Phillip,-37.8468,144.9546,Southern Metropolitan,3280,"-37.8468, 144.9546",Rd,1
102,102,Albert Park,97 Page St,3,h,3010000.0,S,Greg,2017-03-18,3.3,3206,3,2,0,147.0,146.0,1890,Port Phillip,-37.8473,144.9551,Southern Metropolitan,3280,"-37.8473, 144.9551",St,1
103,103,Albert Park,55 Withers St,4,h,2800000.0,VB,Cayzer,2016-06-18,3.3,3206,4,3,1,327.0,254.0,1910,Port Phillip,-37.8467,144.9475,Southern Metropolitan,3280,"-37.8467, 144.9475",St,1
104,104,Albert Park,10/140 Kerferd Rd,2,u,647000.0,S,Greg,2016-05-22,3.3,3206,2,1,1,0.0,126.0,1970,Port Phillip,-37.846,144.9542,Southern Metropolitan,3280,"-37.846, 144.9542",Rd,1
105,105,Albert Park,55 Merton St,3,h,2100000.0,SP,Marshall,2016-04-23,3.3,3206,2,1,1,120.0,123.0,1900,Port Phillip,-37.8427,144.9546,Southern Metropolitan,3280,"-37.8427, 144.9546",St,1
106,106,Albert Park,49 Page St,3,h,2000000.0,PI,Marshall,2016-09-24,3.3,3206,3,1,1,238.0,131.0,1890,Port Phillip,-37.8461,144.9528,Southern Metropolitan,3280,"-37.8461, 144.9528",St,1
107,107,Albert Park,13/52 Moubray St,1,u,442500.0,S,Marshall,2017-02-25,3.3,3206,1,1,0,0.0,34.0,1970,Port Phillip,-37.8421,144.9517,Southern Metropolitan,3280,"-37.8421, 144.9517",St,1
108,108,Albert Park,115 Page St,4,h,4735000.0,S,Marshall,2017-02-25,3.3,3206,4,2,1,330.0,207.0,1910,Port Phillip,-37.8477,144.9558,Southern Metropolitan,3280,"-37.8477, 144.9558",St,1
109,109,Albert Park,32 Page St,2,h,1340000.0,S,Greg,2017-02-25,3.3,3206,2,1,0,136.0,126.0,1970,Port Phillip,-37.846,144.9517,Southern Metropolitan,3280,"-37.846, 144.9517",St,1
110,110,Albert Park,34 Richardson St,3,h,1801000.0,S,hockingstuart,2017-02-25,3.3,3206,3,1,1,202.0,126.0,1970,Port Phillip,-37.8429,144.9493,Southern Metropolitan,3280,"-37.8429, 144.9493",St,1
111,111,Albert Park,2b Dundas Pl,3,h,1532000.0,S,Chisholm,2016-07-26,3.3,3206,3,3,1,0.0,126.0,1970,Port Phillip,-37.8415,144.9585,Southern Metropolitan,3280,"-37.8415, 144.9585",Pl,0
112,112,Albert Park,22 Greig St,3,h,3755000.0,S,Greg,2016-07-26,3.3,3206,3,2,2,325.0,126.0,1970,Port Phillip,-37.8413,144.95,Southern Metropolitan,3280,"-37.8413, 144.95",St,0
113,113,Albert Park,27 Barrett St,4,h,2140000.0,S,Greg,2016-06-27,3.3,3206,3,2,1,183.0,145.0,1880,Port Phillip,-37.8434,144.9495,Southern Metropolitan,3280,"-37.8434, 144.9495",St,0
114,114,Albert Park,44 Greig St,2,h,1750000.0,S,Marshall,2016-11-27,3.3,3206,2,1,1,162.0,126.0,1970,Port Phillip,-37.8416,144.9488,Southern Metropolitan,3280,"-37.8416, 144.9488",St,1
115,115,Albert Park,6 Brooke St,2,h,980000.0,S,Greg,2016-05-28,3.3,3206,2,1,0,79.0,68.0,1890,Port Phillip,-37.8387,144.9519,Southern Metropolitan,3280,"-37.8387, 144.9519",St,1
116,116,Albert Park,227a Danks St,3,h,2030000.0,S,hockingstuart,2016-08-28,3.3,3206,3,2,0,152.0,126.0,1970,Port Phillip,-37.8488,144.9551,Southern Metropolitan,3280,"-37.8488, 144.9551",St,1
117,117,Albert Park,17 Reed St,3,h,1740000.0,PI,Marshall,2016-08-28,3.3,3206,3,2,2,147.0,134.0,1890,Port Phillip,-37.8448,144.9453,Southern Metropolitan,3280,"-37.8448, 144.9453",St,1
118,118,Albert Park,74 Bridport St,3,h,2800000.0,VB,Buxton,2016-07-30,3.3,3206,3,3,1,0.0,126.0,1970,Port Phillip,-37.8399,144.9577,Southern Metropolitan,3280,"-37.8399, 144.9577",St,1
119,119,Albert Park,9 Durham St,1,h,985000.0,S,Marshall,2016-07-30,3.3,3206,1,1,0,81.0,54.0,1900,Port Phillip,-37.8411,144.9497,Southern Metropolitan,3280,"-37.8411, 144.9497",St,1
120,120,Alphington,6 Smith St,4,h,2000000.0,S,other,2016-09-03,6.4,3078,3,2,4,853.0,263.0,1930,Darebin,-37.7707,145.0318,Northern Metropolitan,2211,"-37.7707, 145.0318",St,1
